Accuracy,Algorithm,Date,Features,KFolds,Predicting,Training,Version,f1_score,matthews_corrcoef,precision,recall,roc_auc_score,support
0.535714285714,MLC,18-01-13-23-37-24,Completed,0,0:00:00.016011,0:00:00.539357,SP Adjust Price 1 + Combination of Series,0.0,0,0.0,0.0,0,0.0
0.535714285714,MLC,18-01-13-23-37-24,Completed,0,0:00:00.016011,0:00:00.539357,SP Adjust Price 1 + Combination of Series,1.0,0,1.0,0.54,0,0.7
